id,source_file,source_line,section,claim,status,severity,categories,equivalent_components,evidence_required,remediation
CLAIM-0011,todo.md,18,NEXCOM Exchange — Full Platform TODO > Phase 2 — Ecosystem Expansion,"WorkBench Agri-SME SaaS portal (farm management, crop planning, soil analysis)",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0011. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0012,todo.md,19,NEXCOM Exchange — Full Platform TODO > Phase 2 — Ecosystem Expansion,Collateral Manager Accreditation workflow,blocked,critical,funds-and-ledger | workflow-and-resilience,authoritative ledger or durable transaction store | idempotency/reconciliation component | authorization policy | audit trail | real-dependency integration test | concurrency and crash-recovery test | durable workflow/state machine | retry and compensation handler | outbox/inbox or reconciliation process | fault-injection test | operational alert/runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0012. Trace the stated capability through authoritative ledger or durable transaction store, idempotency/reconciliation component, authorization policy, audit trail, real-dependency integration test, concurrency and crash-recovery test, durable workflow/state machine, retry and compensation handler, outbox/inbox or reconciliation process, fault-injection test, operational alert/runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0013,todo.md,20,NEXCOM Exchange — Full Platform TODO > Phase 2 — Ecosystem Expansion,WorkBench DB schema tables,blocked,high,data-and-schema,schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0013. Trace the stated capability through schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0014,todo.md,21,NEXCOM Exchange — Full Platform TODO > Phase 2 — Ecosystem Expansion,WorkBench tRPC router,blocked,high,api-and-integration,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0014. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0015,todo.md,24,NEXCOM Exchange — Full Platform TODO > Phase 3 — Capital Markets,ABCP (Asset-Backed Commercial Paper) issuance engine,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0015. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0016,todo.md,25,NEXCOM Exchange — Full Platform TODO > Phase 3 — Capital Markets,ABCP Fixed Income board UI,blocked,medium,client-experience,registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0016. Trace the stated capability through registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0017,todo.md,26,NEXCOM Exchange — Full Platform TODO > Phase 3 — Capital Markets,Crop Production Reports service,blocked,high,api-and-integration,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0017. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0018,todo.md,27,NEXCOM Exchange — Full Platform TODO > Phase 3 — Capital Markets,ABCP DB schema tables,blocked,high,data-and-schema,schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0018. Trace the stated capability through schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0019,todo.md,28,NEXCOM Exchange — Full Platform TODO > Phase 3 — Capital Markets,Crop report generation pipeline,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0019. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0020,todo.md,31,NEXCOM Exchange — Full Platform TODO > Phase 4 — Physical Operations,"Input Financing Engine — loan origination, repayment, collateral",blocked,critical,funds-and-ledger,authoritative ledger or durable transaction store | idempotency/reconciliation component | authorization policy | audit trail | real-dependency integration test | concurrency and crash-recovery test,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0020. Trace the stated capability through authoritative ledger or durable transaction store, idempotency/reconciliation component, authorization policy, audit trail, real-dependency integration test, concurrency and crash-recovery test. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0021,todo.md,32,NEXCOM Exchange — Full Platform TODO > Phase 4 — Physical Operations,"Field Agent Network — agent registration, farm visits, GPS tracking",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0021. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0022,todo.md,33,NEXCOM Exchange — Full Platform TODO > Phase 4 — Physical Operations,Input financing DB schema,blocked,high,data-and-schema,schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0022. Trace the stated capability through schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0023,todo.md,34,NEXCOM Exchange — Full Platform TODO > Phase 4 — Physical Operations,Field agent DB schema,blocked,high,data-and-schema,schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0023. Trace the stated capability through schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0024,todo.md,35,NEXCOM Exchange — Full Platform TODO > Phase 4 — Physical Operations,Input Financing tRPC router + UI page,blocked,high,api-and-integration | client-experience,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0024. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0025,todo.md,36,NEXCOM Exchange — Full Platform TODO > Phase 4 — Physical Operations,Field Agent tRPC router + UI page,blocked,high,api-and-integration | client-experience,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0025. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0026,todo.md,37,NEXCOM Exchange — Full Platform TODO > Phase 4 — Physical Operations,Crop Reports tRPC router + UI page,blocked,high,api-and-integration | client-experience,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0026. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0027,todo.md,40,NEXCOM Exchange — Full Platform TODO > PWA Enhancements,Web App Manifest (manifest.json) — installable PWA,blocked,medium,client-experience,registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0027. Trace the stated capability through registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0028,todo.md,41,NEXCOM Exchange — Full Platform TODO > PWA Enhancements,Service Worker (sw.js) — offline cache strategy,blocked,high,api-and-integration | data-and-schema,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability | schema and migration | constraint/index validation | data lifecycle/retention control | backup/restore test | production-shaped seed data,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0028. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability, schema and migration, constraint/index validation, data lifecycle/retention control, backup/restore test, production-shaped seed data. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0029,todo.md,42,NEXCOM Exchange — Full Platform TODO > PWA Enhancements,Push notification subscription + backend,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0029. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0030,todo.md,43,NEXCOM Exchange — Full Platform TODO > PWA Enhancements,Offline fallback pages,blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0030. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0031,todo.md,44,NEXCOM Exchange — Full Platform TODO > PWA Enhancements,"App icons (192x192, 512x512)",blocked,medium,general-platform,authoritative requirement | implementation trace | unit/contract/integration/E2E test | security review | operational runbook,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0031. Trace the stated capability through authoritative requirement, implementation trace, unit/contract/integration/E2E test, security review, operational runbook. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0032,todo.md,47,NEXCOM Exchange — Full Platform TODO > React Native Mobile App (nexcom-mobile/),Expo Router project scaffold,blocked,high,api-and-integration,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0032. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0033,todo.md,48,NEXCOM Exchange — Full Platform TODO > React Native Mobile App (nexcom-mobile/),Root layout with tRPC + React Query providers,blocked,high,api-and-integration,registered endpoint/consumer | request/event contract | authorization and input validation | real dependency integration test | observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0033. Trace the stated capability through registered endpoint/consumer, request/event contract, authorization and input validation, real dependency integration test, observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0034,todo.md,49,NEXCOM Exchange — Full Platform TODO > React Native Mobile App (nexcom-mobile/),"Bottom tab navigator (Dashboard, Markets, Trade, Warehouse, Profile)",blocked,medium,client-experience,registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0034. Trace the stated capability through registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0035,todo.md,50,NEXCOM Exchange — Full Platform TODO > React Native Mobile App (nexcom-mobile/),"Dashboard screen — portfolio overview, market summary, alerts, quick actions",blocked,medium,client-experience,registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0035. Trace the stated capability through registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0036,todo.md,51,NEXCOM Exchange — Full Platform TODO > React Native Mobile App (nexcom-mobile/),"Markets screen — commodity list with search, filter by category, gainers/losers",blocked,medium,client-experience,registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0036. Trace the stated capability through registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0037,todo.md,52,NEXCOM Exchange — Full Platform TODO > React Native Mobile App (nexcom-mobile/),"Trade screen — order placement (LIMIT/MARKET/STOP/STOP_LIMIT), TIF options",blocked,medium,client-experience,registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0037. Trace the stated capability through registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
CLAIM-0038,todo.md,53,NEXCOM Exchange — Full Platform TODO > React Native Mobile App (nexcom-mobile/),"Warehouse screen — WR list with status badges, pledge/sell actions",blocked,medium,client-experience,registered client route | live API/client wiring | loading/error/authorization state | browser/device E2E test | accessibility and observability,authoritative requirement | implementation trace | unit or component test | real-dependency integration test | public-interface E2E test | security and audit evidence | revision-pinned execution log,"Define acceptance criteria and authoritative owner for CLAIM-0038. Trace the stated capability through registered client route, live API/client wiring, loading/error/authorization state, browser/device E2E test, accessibility and observability. Implement or correct every missing link; do not suppress the claim or downgrade a test. Add a regression test that fails against the prior gap and execute real dependency/E2E evidence where applicable. Record the exact revision, evidence artifact, residual risk, and qualified approver in the feature-claim manifest."
